DATECOLLECTED,SAMPLELOCATION,daily_flow_rate_m3
2022-03-07,AU_Eastern,NA
2022-03-09,AU_Eastern,NA
2022-03-11,AU_Eastern,NA
2022-03-14,AU_Eastern,NA
2022-03-16,AU_Eastern,NA
2022-03-21,AU_Eastern,NA
2022-03-22,AU_Eastern,3857.709893
2022-03-23,AU_Eastern,4666.262635
2022-03-24,AU_Eastern,2781.469599
2022-03-25,AU_Eastern,2147.990985
2022-03-26,AU_Eastern,2408.063875
2022-03-27,AU_Eastern,2095.846096
2022-03-28,AU_Eastern,1250.648938
2022-03-29,AU_Eastern,1978.945367
2022-03-30,AU_Eastern,1903.789106
2022-03-31,AU_Eastern,2574.536863
2022-04-01,AU_Eastern,1417.983676
2022-04-02,AU_Eastern,1795.04083
2022-04-03,AU_Eastern,1847.535088
2022-04-04,AU_Eastern,1301.177636
2022-04-05,AU_Eastern,1909.604605
2022-04-06,AU_Eastern,1951.22713
2022-04-07,AU_Eastern,1856.748723
2022-04-08,AU_Eastern,1770.617117
2022-04-09,AU_Eastern,1722.538003
2022-04-10,AU_Eastern,1668.840782
2022-04-11,AU_Eastern,1652.287533
2022-04-12,AU_Eastern,1721.140536
2022-04-13,AU_Eastern,1832.452412
2022-04-14,AU_Eastern,1971.711708
2022-04-15,AU_Eastern,1755.19543
2022-04-16,AU_Eastern,1592.352151
2022-04-17,AU_Eastern,1532.088907
2022-04-18,AU_Eastern,1508.357666
2022-04-19,AU_Eastern,1756.327652
2022-04-20,AU_Eastern,2045.425199
2022-04-21,AU_Eastern,1884.688726
2022-04-22,AU_Eastern,1869.21536
2022-04-23,AU_Eastern,1870.729268
2022-04-24,AU_Eastern,1701.575313
2022-04-25,AU_Eastern,1925.719219
2022-04-26,AU_Eastern,1817.097407
2022-04-27,AU_Eastern,1793.152583
2022-04-28,AU_Eastern,1743.166871
2022-04-29,AU_Eastern,1761.433594
2022-04-30,AU_Eastern,1743.430497
2022-05-01,AU_Eastern,1714.734142
2022-05-02,AU_Eastern,1717.645486
2022-05-03,AU_Eastern,1831.113171
2022-05-04,AU_Eastern,1781.955435
2022-05-05,AU_Eastern,1784.485097
2022-05-06,AU_Eastern,1780.662673
2022-05-07,AU_Eastern,1740.631658
2022-05-08,AU_Eastern,1678.484312
2022-05-09,AU_Eastern,1658.433868
2022-05-10,AU_Eastern,1803.313742
2022-05-11,AU_Eastern,1884.394742
2022-05-12,AU_Eastern,1775.074475
2022-05-13,AU_Eastern,1773.066062
2022-05-14,AU_Eastern,1730.215935
2022-05-15,AU_Eastern,1655.565928
2022-05-16,AU_Eastern,1650.593939
2022-05-17,AU_Eastern,1805.5563
2022-05-18,AU_Eastern,1859.868467
2022-05-19,AU_Eastern,1902.194716
2022-05-20,AU_Eastern,2338.100731
2022-05-21,AU_Eastern,2200.538265
2022-05-22,AU_Eastern,1896.162431
2022-05-23,AU_Eastern,1817.484689
2022-05-24,AU_Eastern,1850.329074
2022-05-25,AU_Eastern,1795.538654
2022-05-26,AU_Eastern,1796.494395
2022-05-27,AU_Eastern,1836.159986
2022-05-28,AU_Eastern,1766.942188
2022-05-29,AU_Eastern,1729.268695
2022-05-30,AU_Eastern,2220.906438
2022-05-31,AU_Eastern,3513.472477
2022-06-01,AU_Eastern,3175.225421
2022-06-02,AU_Eastern,2629.562791
2022-06-03,AU_Eastern,3071.419434
2022-06-04,AU_Eastern,3056.795318
2022-06-05,AU_Eastern,2250.581204
2022-06-06,AU_Eastern,3069.619095
2022-06-07,AU_Eastern,4629.976624
2022-06-08,AU_Eastern,3157.241723
2022-06-09,AU_Eastern,2634.877915
2022-06-10,AU_Eastern,2415.84978
2022-06-11,AU_Eastern,2636.951865
2022-06-12,AU_Eastern,3938.474843
2022-06-13,AU_Eastern,4802.839876
2022-06-14,AU_Eastern,4715.3370860000005
2022-06-15,AU_Eastern,3683.847216
2022-06-16,AU_Eastern,3318.253577
2022-06-17,AU_Eastern,2867.427299
2022-06-18,AU_Eastern,2566.787483
2022-06-19,AU_Eastern,2953.157582
2022-06-20,AU_Eastern,2927.202235
2022-06-21,AU_Eastern,2601.596075
2022-06-22,AU_Eastern,2409.223058
2022-06-23,AU_Eastern,2311.531185
2022-06-24,AU_Eastern,2196.098455
2022-06-25,AU_Eastern,2994.289892
2022-06-26,AU_Eastern,2668.032121
2022-06-27,AU_Eastern,2394.18206
2022-06-28,AU_Eastern,2385.333159
2022-06-29,AU_Eastern,2276.080482
2022-06-30,AU_Eastern,3247.902344
2022-07-01,AU_Eastern,2622.040123
2022-07-02,AU_Eastern,2378.046076
2022-07-03,AU_Eastern,2227.562372
2022-07-04,AU_Eastern,2129.561166
2022-07-05,AU_Eastern,2133.176288
2022-07-06,AU_Eastern,4510.015539
2022-07-07,AU_Eastern,3899.786382
2022-07-08,AU_Eastern,4415.181719
2022-07-09,AU_Eastern,6266.177154
2022-07-10,AU_Eastern,4151.389597
2022-07-11,AU_Eastern,2972.002027
2022-07-12,AU_Eastern,4436.238819
2022-07-13,AU_Eastern,6189.574939
2022-07-14,AU_Eastern,4582.579215
2022-07-15,AU_Eastern,4937.525813
2022-07-16,AU_Eastern,4064.223527
2022-07-17,AU_Eastern,3417.397359
2022-07-18,AU_Eastern,3016.080514
2022-07-19,AU_Eastern,2917.120109
2022-07-20,AU_Eastern,3747.940518
2022-07-21,AU_Eastern,4530.85483
2022-07-22,AU_Eastern,3873.414365
2022-07-23,AU_Eastern,3109.30079
2022-07-24,AU_Eastern,2686.041464
2022-07-25,AU_Eastern,3160.541667
2022-07-26,AU_Eastern,5193.989735
2022-07-27,AU_Eastern,5289.455834
2022-07-28,AU_Eastern,4176.516403
2022-07-29,AU_Eastern,4145.823307
2022-07-30,AU_Eastern,3237.927482
2022-07-31,AU_Eastern,2863.242079
2022-08-01,AU_Eastern,3118.134311
2022-08-02,AU_Eastern,2712.907963
2022-08-03,AU_Eastern,2514.744589
2022-08-04,AU_Eastern,2432.613355
2022-08-05,AU_Eastern,2336.293604
2022-08-06,AU_Eastern,2254.632224
2022-08-07,AU_Eastern,2134.164606
2022-08-08,AU_Eastern,4192.258572
2022-08-09,AU_Eastern,4043.657424
2022-08-10,AU_Eastern,3907.91162
2022-08-11,AU_Eastern,2995.502481
2022-08-12,AU_Eastern,2678.057592
2022-08-13,AU_Eastern,2476.199531
2022-08-14,AU_Eastern,2398.49066
2022-08-15,AU_Eastern,2215.00461
2022-08-16,AU_Eastern,2194.97774
2022-08-17,AU_Eastern,2197.260334
2022-08-18,AU_Eastern,2960.588082
2022-08-19,AU_Eastern,5928.345068
2022-08-20,AU_Eastern,4902.264931
2022-08-21,AU_Eastern,3572.913795
2022-08-22,AU_Eastern,2947.2504
2022-08-23,AU_Eastern,3045.91535
2022-08-24,AU_Eastern,3028.556287
2022-08-25,AU_Eastern,2599.30654
2022-08-26,AU_Eastern,4059.830897
2022-08-27,AU_Eastern,3808.704016
2022-08-28,AU_Eastern,2935.246667
2022-08-29,AU_Eastern,2591.568994
2022-08-30,AU_Eastern,2444.443289
2022-08-31,AU_Eastern,2372.665306
2022-09-01,AU_Eastern,2232.973798
2022-09-02,AU_Eastern,2142.194791
2022-09-05,AU_Eastern,NA
2022-09-07,AU_Eastern,NA
2022-09-12,AU_Eastern,NA
2022-09-14,AU_Eastern,NA
2022-09-19,AU_Eastern,NA
2022-09-21,AU_Eastern,NA
2022-09-28,AU_Eastern,NA
2022-10-03,AU_Eastern,NA
2022-10-05,AU_Eastern,NA
2022-03-07,AU_SouthWestern,NA
2022-03-09,AU_SouthWestern,NA
2022-03-11,AU_SouthWestern,NA
2022-03-14,AU_SouthWestern,NA
2022-03-16,AU_SouthWestern,NA
2022-03-21,AU_SouthWestern,NA
2022-03-22,AU_SouthWestern,665.730631
2022-03-23,AU_SouthWestern,375.6476015
2022-03-24,AU_SouthWestern,469.4442366
2022-03-25,AU_SouthWestern,374.9205941
2022-03-26,AU_SouthWestern,348.4759525
2022-03-27,AU_SouthWestern,330.9346065
2022-03-28,AU_SouthWestern,317.8772566
2022-03-29,AU_SouthWestern,304.6418562
2022-03-30,AU_SouthWestern,322.7646281
2022-03-31,AU_SouthWestern,764.6111687
2022-04-01,AU_SouthWestern,325.3634023
2022-04-02,AU_SouthWestern,310.8641905
2022-04-03,AU_SouthWestern,306.597857
2022-04-04,AU_SouthWestern,302.6406649
2022-04-05,AU_SouthWestern,302.2289084
2022-04-06,AU_SouthWestern,318.9463023
2022-04-07,AU_SouthWestern,338.4257202
2022-04-08,AU_SouthWestern,327.0641242
2022-04-09,AU_SouthWestern,316.6515831
2022-04-10,AU_SouthWestern,309.1808845
2022-04-11,AU_SouthWestern,309.7244127
2022-04-12,AU_SouthWestern,321.5771195
2022-04-13,AU_SouthWestern,323.449031
2022-04-14,AU_SouthWestern,328.8382732
2022-04-15,AU_SouthWestern,324.4131119
2022-04-16,AU_SouthWestern,301.6630585
2022-04-17,AU_SouthWestern,292.2348821
2022-04-18,AU_SouthWestern,288.1180364
2022-04-19,AU_SouthWestern,295.2554642
2022-04-20,AU_SouthWestern,322.5248506
2022-04-21,AU_SouthWestern,324.7233105
2022-04-22,AU_SouthWestern,324.384805
2022-04-23,AU_SouthWestern,311.9605085
2022-04-24,AU_SouthWestern,304.0310761
2022-04-25,AU_SouthWestern,303.151266
2022-04-26,AU_SouthWestern,315.7614579
2022-04-27,AU_SouthWestern,328.5240749
2022-04-28,AU_SouthWestern,316.9420866
2022-04-29,AU_SouthWestern,321.0832258
2022-04-30,AU_SouthWestern,312.074197
2022-05-01,AU_SouthWestern,304.3308538
2022-05-02,AU_SouthWestern,303.9898789
2022-05-03,AU_SouthWestern,332.245657
2022-05-04,AU_SouthWestern,361.9999588
2022-05-05,AU_SouthWestern,361.9999588
2022-05-06,AU_SouthWestern,361.9999588
2022-05-07,AU_SouthWestern,361.9999588
2022-05-08,AU_SouthWestern,361.9999588
2022-05-09,AU_SouthWestern,361.9999588
2022-05-10,AU_SouthWestern,361.9999588
2022-05-11,AU_SouthWestern,361.9999588
2022-05-12,AU_SouthWestern,361.9999588
2022-05-13,AU_SouthWestern,361.9999588
2022-05-14,AU_SouthWestern,361.9999588
2022-05-15,AU_SouthWestern,361.9999588
2022-05-16,AU_SouthWestern,361.9999588
2022-05-17,AU_SouthWestern,361.9999588
2022-05-18,AU_SouthWestern,361.9999588
2022-05-19,AU_SouthWestern,361.9999588
2022-05-20,AU_SouthWestern,361.9999588
2022-05-21,AU_SouthWestern,350.704722
2022-05-22,AU_SouthWestern,330.7685852
2022-05-23,AU_SouthWestern,324.5518713
2022-05-24,AU_SouthWestern,330.0766451
2022-05-25,AU_SouthWestern,323.6554418
2022-05-26,AU_SouthWestern,322.1175378
2022-05-27,AU_SouthWestern,320.6556846
2022-05-28,AU_SouthWestern,316.8996307
2022-05-29,AU_SouthWestern,297.5898858
2022-05-30,AU_SouthWestern,313.9067741
2022-05-31,AU_SouthWestern,653.841136
2022-06-01,AU_SouthWestern,372.6421539
2022-06-02,AU_SouthWestern,353.4121099
2022-06-03,AU_SouthWestern,409.5007911
2022-06-04,AU_SouthWestern,373.2625737
2022-06-05,AU_SouthWestern,363.3818089
2022-06-06,AU_SouthWestern,331.586684
2022-06-07,AU_SouthWestern,364.1235443
2022-06-08,AU_SouthWestern,405.3134557
2022-06-09,AU_SouthWestern,401.8033376
2022-06-10,AU_SouthWestern,380.0879423
2022-06-11,AU_SouthWestern,405.784911
2022-06-12,AU_SouthWestern,365.3414023
2022-06-13,AU_SouthWestern,453.1668815
2022-06-14,AU_SouthWestern,584.3586569
2022-06-15,AU_SouthWestern,393.9085455
2022-06-16,AU_SouthWestern,317.0963355
2022-06-17,AU_SouthWestern,274.1210122
2022-06-18,AU_SouthWestern,382.1903024
2022-06-19,AU_SouthWestern,392.3332175
2022-06-20,AU_SouthWestern,397.6139049
2022-06-21,AU_SouthWestern,364.1288736
2022-06-22,AU_SouthWestern,384.2940591
2022-06-23,AU_SouthWestern,373.2657558
2022-06-24,AU_SouthWestern,374.4347739
2022-06-25,AU_SouthWestern,380.0558488
2022-06-26,AU_SouthWestern,406.3681068
2022-06-27,AU_SouthWestern,382.185154
2022-06-28,AU_SouthWestern,352.6469064
2022-06-29,AU_SouthWestern,378.8137638
2022-06-30,AU_SouthWestern,399.5218367
2022-07-01,AU_SouthWestern,399.3465652
2022-07-02,AU_SouthWestern,385.8259694
2022-07-03,AU_SouthWestern,363.6510566
2022-07-04,AU_SouthWestern,356.5904614
2022-07-05,AU_SouthWestern,339.138559
2022-07-06,AU_SouthWestern,803.2858266
2022-07-07,AU_SouthWestern,805.1788536
2022-07-08,AU_SouthWestern,423.6464188
2022-07-09,AU_SouthWestern,1131.556654
2022-07-10,AU_SouthWestern,950.6588816
2022-07-11,AU_SouthWestern,719.3849036
2022-07-12,AU_SouthWestern,454.112834
2022-07-13,AU_SouthWestern,1381.505683
2022-07-14,AU_SouthWestern,1206.368314
2022-07-15,AU_SouthWestern,1175.171164
2022-07-16,AU_SouthWestern,1010.201462
2022-07-17,AU_SouthWestern,841.2764913
2022-07-18,AU_SouthWestern,774.415274
2022-07-19,AU_SouthWestern,714.3507438
2022-07-20,AU_SouthWestern,809.8690134
2022-07-21,AU_SouthWestern,1000.042124
2022-07-22,AU_SouthWestern,974.907152
2022-07-23,AU_SouthWestern,810.2462107
2022-07-24,AU_SouthWestern,694.2762639
2022-07-25,AU_SouthWestern,672.4696222
2022-07-26,AU_SouthWestern,915.4936398
2022-07-27,AU_SouthWestern,1038.36829
2022-07-28,AU_SouthWestern,924.6575584
2022-07-29,AU_SouthWestern,811.598318
2022-07-30,AU_SouthWestern,723.4025215
2022-07-31,AU_SouthWestern,658.5987061
2022-08-01,AU_SouthWestern,627.656749
2022-08-02,AU_SouthWestern,594.1852383
2022-08-03,AU_SouthWestern,565.0330636
2022-08-04,AU_SouthWestern,547.932191
2022-08-05,AU_SouthWestern,527.6271867
2022-08-06,AU_SouthWestern,509.0761819
2022-08-07,AU_SouthWestern,494.8109539
2022-08-08,AU_SouthWestern,710.8040071
2022-08-09,AU_SouthWestern,696.1022758
2022-08-10,AU_SouthWestern,759.5220725
2022-08-11,AU_SouthWestern,646.5543855
2022-08-12,AU_SouthWestern,598.5363411
2022-08-13,AU_SouthWestern,561.3704662
2022-08-14,AU_SouthWestern,537.1815026
2022-08-15,AU_SouthWestern,527.3383799
2022-08-16,AU_SouthWestern,497.9877224
2022-08-17,AU_SouthWestern,495.76597
2022-08-18,AU_SouthWestern,539.3043359
2022-08-19,AU_SouthWestern,1017.863618
2022-08-20,AU_SouthWestern,926.2091001
2022-08-21,AU_SouthWestern,780.1456184
2022-08-22,AU_SouthWestern,659.7113189
2022-08-23,AU_SouthWestern,644.6198007
2022-08-24,AU_SouthWestern,660.6173237
2022-08-25,AU_SouthWestern,591.2124077
2022-08-26,AU_SouthWestern,858.0224382
2022-08-27,AU_SouthWestern,874.7162191
2022-08-28,AU_SouthWestern,718.0848609
2022-08-29,AU_SouthWestern,644.062583
2022-08-30,AU_SouthWestern,598.9215732
2022-08-31,AU_SouthWestern,570.8192116
2022-09-01,AU_SouthWestern,561.3511014
2022-09-02,AU_SouthWestern,535.5075281
2022-09-05,AU_SouthWestern,NA
2022-09-07,AU_SouthWestern,NA
2022-09-12,AU_SouthWestern,NA
2022-09-14,AU_SouthWestern,NA
2022-09-19,AU_SouthWestern,NA
2022-09-21,AU_SouthWestern,NA
2022-09-26,AU_SouthWestern,NA
2022-09-28,AU_SouthWestern,NA
2022-10-03,AU_SouthWestern,NA
2022-10-05,AU_SouthWestern,NA
2022-08-27,AU_Western,1874.658316
2022-08-28,AU_Western,1373.312049
2022-08-29,AU_Western,1194.717353
2022-08-30,AU_Western,1107.193288
2022-08-31,AU_Western,1067.113946
2022-09-01,AU_Western,1022.451564
2022-09-02,AU_Western,925.8441579
2022-09-05,AU_Western,NA
2022-09-07,AU_Western,NA
2022-09-12,AU_Western,NA
2022-09-14,AU_Western,NA
2022-09-19,AU_Western,NA
2022-09-21,AU_Western,NA
2022-09-26,AU_Western,NA
2022-09-28,AU_Western,NA
2022-10-03,AU_Western,NA
2022-10-05,AU_Western,NA
2022-01-02,CA_Christchurch,148860.0165
2022-01-03,CA_Christchurch,146523.5248
2022-01-04,CA_Christchurch,148806.8448
2022-01-05,CA_Christchurch,148663.4707
2022-01-06,CA_Christchurch,155288.4318
2022-01-07,CA_Christchurch,148405.8444
2022-01-08,CA_Christchurch,151091.9311
2022-01-09,CA_Christchurch,150813.8007
2022-01-10,CA_Christchurch,151869.2471
2022-01-11,CA_Christchurch,148969.1461
2022-01-12,CA_Christchurch,145280.0419
2022-01-13,CA_Christchurch,140203.6754
2022-01-14,CA_Christchurch,140004.8848
2022-01-15,CA_Christchurch,140608.7772
2022-01-16,CA_Christchurch,142221.8245
2022-01-17,CA_Christchurch,141926.3153
2022-01-18,CA_Christchurch,139395.4642
2022-01-19,CA_Christchurch,139829.9967
2022-01-20,CA_Christchurch,142632.1716
2022-01-21,CA_Christchurch,143032.0305
2022-01-22,CA_Christchurch,135831.5374
2022-01-23,CA_Christchurch,139142.3814
2022-01-24,CA_Christchurch,141108.3354
2022-01-25,CA_Christchurch,141154.9766
2022-01-26,CA_Christchurch,135552.6224
2022-01-27,CA_Christchurch,148638.1269
2022-01-28,CA_Christchurch,138416.6956
2022-01-29,CA_Christchurch,132315.6111
2022-01-30,CA_Christchurch,135303.0365
2022-01-31,CA_Christchurch,140569.8898
2022-02-01,CA_Christchurch,138679.8416
2022-02-02,CA_Christchurch,138240.2953
2022-02-03,CA_Christchurch,140375.4536
2022-02-04,CA_Christchurch,135659.2664
2022-02-05,CA_Christchurch,148968.2724
2022-02-06,CA_Christchurch,215492.1846
2022-02-07,CA_Christchurch,190435.5864
2022-02-08,CA_Christchurch,140738.9717
2022-02-09,CA_Christchurch,129699.2616
2022-02-10,CA_Christchurch,163301.5187
2022-02-11,CA_Christchurch,284159.5651
2022-02-12,CA_Christchurch,197700.1278
2022-02-13,CA_Christchurch,256922.095
2022-02-14,CA_Christchurch,439918.9989
2022-02-15,CA_Christchurch,270235.5231
2022-02-16,CA_Christchurch,220784.6159
2022-02-17,CA_Christchurch,205596.3445
2022-02-18,CA_Christchurch,194891.2431
2022-02-19,CA_Christchurch,193166.3385
2022-02-20,CA_Christchurch,190336.2014
2022-02-21,CA_Christchurch,178601.5337
2022-02-22,CA_Christchurch,165093.6234
2022-02-23,CA_Christchurch,168483.1055
2022-02-24,CA_Christchurch,149354.9191
2022-02-25,CA_Christchurch,151686.3984
2022-02-26,CA_Christchurch,151203.1078
2022-02-27,CA_Christchurch,147116.9121
2022-02-28,CA_Christchurch,134883.2599
2022-03-01,CA_Christchurch,150387.4837
2022-03-02,CA_Christchurch,138949.2507
2022-03-03,CA_Christchurch,139417.0841
2022-03-04,CA_Christchurch,136504.9926
2022-03-05,CA_Christchurch,136063.1351
2022-03-06,CA_Christchurch,141690.4532
2022-03-07,CA_Christchurch,144021.4472
2022-03-08,CA_Christchurch,133594.5255
2022-03-09,CA_Christchurch,135615.0938
2022-03-10,CA_Christchurch,139866.4536
2022-03-11,CA_Christchurch,131293.6757
2022-03-12,CA_Christchurch,136799.9281
2022-03-13,CA_Christchurch,137245.2877
2022-03-14,CA_Christchurch,127246.0811
2022-03-15,CA_Christchurch,128222.1766
2022-03-16,CA_Christchurch,128532.2308
2022-03-17,CA_Christchurch,131076.0049
2022-03-18,CA_Christchurch,132754.5024
2022-03-19,CA_Christchurch,131455.5947
2022-03-20,CA_Christchurch,133859.2289
2022-03-21,CA_Christchurch,133836.7506
2022-03-22,CA_Christchurch,145180.9454
2022-03-23,CA_Christchurch,199241.8868
2022-03-24,CA_Christchurch,156315.3444
2022-03-25,CA_Christchurch,161653.6286
2022-03-26,CA_Christchurch,150883.4239
2022-03-27,CA_Christchurch,148337.3687
2022-03-28,CA_Christchurch,138349.3392
2022-03-29,CA_Christchurch,134784.5068
2022-03-30,CA_Christchurch,138351.6945
2022-03-31,CA_Christchurch,141485.3133
2022-04-01,CA_Christchurch,153120.677
2022-04-02,CA_Christchurch,143333.3044
2022-04-03,CA_Christchurch,131959.8031
2022-04-03,CA_Christchurch,146104.3192
2022-04-04,CA_Christchurch,129654.0121
2022-04-05,CA_Christchurch,137796.1181
2022-04-06,CA_Christchurch,153897.4199
2022-04-07,CA_Christchurch,168112.2924
2022-04-08,CA_Christchurch,163188.6114
2022-04-09,CA_Christchurch,152598.6497
2022-04-10,CA_Christchurch,141472.9401
2022-04-11,CA_Christchurch,140582.8247
2022-04-12,CA_Christchurch,142211.8351
2022-04-13,CA_Christchurch,144704.25
2022-04-14,CA_Christchurch,144541.865
2022-04-15,CA_Christchurch,133497.0298
2022-04-16,CA_Christchurch,122882.0278
2022-04-17,CA_Christchurch,125030.9296
2022-04-18,CA_Christchurch,130335.1934
2022-04-19,CA_Christchurch,131144.5349
2022-04-20,CA_Christchurch,138497.2357
2022-04-21,CA_Christchurch,138372.7156
2022-04-22,CA_Christchurch,129562.146
2022-04-23,CA_Christchurch,136574.6716
2022-04-24,CA_Christchurch,129955.8598
2022-04-25,CA_Christchurch,132509.029
2022-04-26,CA_Christchurch,132168.1891
2022-04-27,CA_Christchurch,133363.2077
2022-04-28,CA_Christchurch,140413.3148
2022-04-29,CA_Christchurch,149628.1439
2022-04-30,CA_Christchurch,146681.2733
2022-05-01,CA_Christchurch,141559.04810000001
